Date, ZC025YR, ZC050YR, ZC075YR, ZC100YR, ZC125YR, ZC150YR, ZC175YR, ZC200YR, ZC225YR, ZC250YR, ZC275YR, ZC300YR, ZC325YR, ZC350YR, ZC375YR, ZC400YR, ZC425YR, ZC450YR, ZC475YR, ZC500YR, ZC525YR, ZC550YR, ZC575YR, ZC600YR, ZC625YR, ZC650YR, ZC675YR, ZC700YR, ZC725YR, ZC750YR, ZC775YR, ZC800YR, ZC825YR, ZC850YR, ZC875YR, ZC900YR, ZC925YR, ZC950YR, ZC975YR, ZC1000YR, ZC1025YR, ZC1050YR, ZC1075YR, ZC1100YR, ZC1125YR, ZC1150YR, ZC1175YR, ZC1200YR, ZC1225YR, ZC1250YR, ZC1275YR, ZC1300YR, ZC1325YR, ZC1350YR, ZC1375YR, ZC1400YR, ZC1425YR, ZC1450YR, ZC1475YR, ZC1500YR, ZC1525YR, ZC1550YR, ZC1575YR, ZC1600YR, ZC1625YR, ZC1650YR, ZC1675YR, ZC1700YR, ZC1725YR, ZC1750YR, ZC1775YR, ZC1800YR, ZC1825YR, ZC1850YR, ZC1875YR, ZC1900YR, ZC1925YR, ZC1950YR, ZC1975YR, ZC2000YR, ZC2025YR, ZC2050YR, ZC2075YR, ZC2100YR, ZC2125YR, ZC2150YR, ZC2175YR, ZC2200YR, ZC2225YR, ZC2250YR, ZC2275YR, ZC2300YR, ZC2325YR, ZC2350YR, ZC2375YR, ZC2400YR, ZC2425YR, ZC2450YR, ZC2475YR, ZC2500YR, ZC2525YR, ZC2550YR, ZC2575YR, ZC2600YR, ZC2625YR, ZC2650YR, ZC2675YR, ZC2700YR, ZC2725YR, ZC2750YR, ZC2775YR, ZC2800YR, ZC2825YR, ZC2850YR, ZC2875YR, ZC2900YR, ZC2925YR, ZC2950YR, ZC2975YR, ZC3000YR, 
2022-12-30, 0.0429910000, 0.0453389000, 0.0462791000, 0.0472193000, 0.0425143000, 0.0415329000, 0.0405577000, 0.0396168000, 0.0387268000, 0.0378970000, 0.0371326000, 0.0364357000, 0.0358063000, 0.0352432000, 0.0347438000, 0.0343050000, 0.0339232000, 0.0335944000, 0.0333146000, 0.0330797000, 0.0328856000, 0.0327284000, 0.0326042000, 0.0325094000, 0.0324406000, 0.0323946000, 0.0323685000, 0.0323595000, 0.0323652000, 0.0323831000, 0.0324113000, 0.0324478000, 0.0324910000, 0.0325394000, 0.0325917000, 0.0326466000, 0.0327031000, 0.0327604000, 0.0328177000, 0.0328743000, 0.0329296000, 0.0329832000, 0.0330347000, 0.0330838000, 0.0331302000, 0.0331738000, 0.0332144000, 0.0332519000, 0.0332863000, 0.0333176000, 0.0333457000, 0.0333708000, 0.0333928000, 0.0334118000, 0.0334280000, 0.0334414000, 0.0334521000, 0.0334603000, 0.0334660000, 0.0334694000, 0.0334706000, 0.0334698000, 0.0334670000, 0.0334623000, 0.0334560000, 0.0334480000, 0.0334386000, 0.0334277000, 0.0334156000, 0.0334022000, 0.0333878000, 0.0333723000, 0.0333559000, 0.0333386000, 0.0333206000, 0.0333018000, 0.0332824000, 0.0332623000, 0.0332418000, 0.0332207000, 0.0331993000, 0.0331774000, 0.0331552000, 0.0331327000, 0.0331099000, 0.0330869000, 0.0330637000, 0.0330403000, 0.0330168000, 0.0329932000, 0.0329696000, 0.0329459000, 0.0329221000, 0.0328984000, 0.0328747000, 0.0328511000, 0.0328275000, 0.0328040000, 0.0327806000, 0.0327574000, 0.0327343000, 0.0327113000, 0.0326886000, 0.0326660000, 0.0326437000, 0.0326216000, 0.0325998000, 0.0325783000, 0.0325570000, 0.0325360000, 0.0325154000, 0.0324951000, 0.0324751000, 0.0324556000, 0.0324364000, 0.0324176000, 0.0323992000, 0.0323812000, 0.0323637000, 0.0323466000, 
2023-01-02, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, na, 
2023-01-03, 0.0432807000, 0.0455515000, 0.0464608000, 0.0473701000, 0.0422484000, 0.0412130000, 0.0401894000, 0.0392037000, 0.0382713000, 0.0374011000, 0.0365982000, 0.0358647000, 0.0352005000, 0.0346044000, 0.0340740000, 0.0336062000, 0.0331973000, 0.0328435000, 0.0325407000, 0.0322848000, 0.0320716000, 0.0318973000, 0.0317578000, 0.0316496000, 0.0315691000, 0.0315131000, 0.0314786000, 0.0314627000, 0.0314628000, 0.0314766000, 0.0315018000, 0.0315366000, 0.0315791000, 0.0316278000, 0.0316812000, 0.0317381000, 0.0317974000, 0.0318581000, 0.0319194000, 0.0319805000, 0.0320407000, 0.0320997000, 0.0321568000, 0.0322118000, 0.0322644000, 0.0323143000, 0.0323613000, 0.0324053000, 0.0324462000, 0.0324840000, 0.0325186000, 0.0325500000, 0.0325784000, 0.0326036000, 0.0326259000, 0.0326453000, 0.0326618000, 0.0326756000, 0.0326868000, 0.0326955000, 0.0327019000, 0.0327059000, 0.0327078000, 0.0327077000, 0.0327057000, 0.0327019000, 0.0326964000, 0.0326894000, 0.0326808000, 0.0326710000, 0.0326598000, 0.0326475000, 0.0326341000, 0.0326197000, 0.0326044000, 0.0325883000, 0.0325714000, 0.0325538000, 0.0325356000, 0.0325168000, 0.0324975000, 0.0324778000, 0.0324576000, 0.0324371000, 0.0324163000, 0.0323952000, 0.0323739000, 0.0323524000, 0.0323308000, 0.0323090000, 0.0322872000, 0.0322653000, 0.0322433000, 0.0322214000, 0.0321995000, 0.0321777000, 0.0321559000, 0.0321342000, 0.0321127000, 0.0320913000, 0.0320700000, 0.0320489000, 0.0320280000, 0.0320074000, 0.0319869000, 0.0319667000, 0.0319468000, 0.0319272000, 0.0319078000, 0.0318887000, 0.0318700000, 0.0318516000, 0.0318336000, 0.0318159000, 0.0317986000, 0.0317816000, 0.0317651000, 0.0317490000, 0.0317333000, 0.0317180000, 
2023-01-04, 0.0433079000, 0.0456102000, 0.0465117000, 0.0474131000, 0.0420050000, 0.0409289000, 0.0398709000, 0.0388555000, 0.0378970000, 0.0370036000, 0.0361796000, 0.0354267000, 0.0347446000, 0.0341317000, 0.0335855000, 0.0331026000, 0.0326793000, 0.0323117000, 0.0319958000, 0.0317272000, 0.0315019000, 0.0313159000, 0.0311652000, 0.0310463000, 0.0309557000, 0.0308900000, 0.0308462000, 0.0308215000, 0.0308133000, 0.0308192000, 0.0308370000, 0.0308647000, 0.0309006000, 0.0309430000, 0.0309906000, 0.0310421000, 0.0310962000, 0.0311521000, 0.0312089000, 0.0312658000, 0.0313222000, 0.0313775000, 0.0314313000, 0.0314832000, 0.0315328000, 0.0315800000, 0.0316246000, 0.0316663000, 0.0317051000, 0.0317410000, 0.0317738000, 0.0318037000, 0.0318306000, 0.0318546000, 0.0318757000, 0.0318940000, 0.0319097000, 0.0319227000, 0.0319333000, 0.0319414000, 0.0319474000, 0.0319511000, 0.0319529000, 0.0319527000, 0.0319507000, 0.0319470000, 0.0319418000, 0.0319351000, 0.0319270000, 0.0319177000, 0.0319072000, 0.0318957000, 0.0318831000, 0.0318697000, 0.0318555000, 0.0318405000, 0.0318248000, 0.0318085000, 0.0317917000, 0.0317744000, 0.0317567000, 0.0317386000, 0.0317201000, 0.0317014000, 0.0316825000, 0.0316633000, 0.0316440000, 0.0316245000, 0.0316050000, 0.0315854000, 0.0315658000, 0.0315461000, 0.0315265000, 0.0315068000, 0.0314873000, 0.0314678000, 0.0314484000, 0.0314292000, 0.0314101000, 0.0313911000, 0.0313723000, 0.0313537000, 0.0313352000, 0.0313170000, 0.0312990000, 0.0312813000, 0.0312637000, 0.0312465000, 0.0312295000, 0.0312128000, 0.0311964000, 0.0311803000, 0.0311645000, 0.0311490000, 0.0311339000, 0.0311191000, 0.0311046000, 0.0310905000, 0.0310768000, 0.0310635000, 
2023-01-05, 0.0435996000, 0.0462720000, 0.0470749000, 0.0478778000, 0.0424548000, 0.0413569000, 0.0402786000, 0.0392462000, 0.0382744000, 0.0373713000, 0.0365409000, 0.0357845000, 0.0351012000, 0.0344890000, 0.0339448000, 0.0334651000, 0.0330456000, 0.0326821000, 0.0323702000, 0.0321056000, 0.0318838000, 0.0317007000, 0.0315523000, 0.0314349000, 0.0313448000, 0.0312787000, 0.0312336000, 0.0312066000, 0.0311951000, 0.0311967000, 0.0312093000, 0.0312310000, 0.0312600000, 0.0312948000, 0.0313340000, 0.0313763000, 0.0314208000, 0.0314666000, 0.0315127000, 0.0315585000, 0.0316036000, 0.0316473000, 0.0316893000, 0.0317293000, 0.0317670000, 0.0318022000, 0.0318348000, 0.0318648000, 0.0318920000, 0.0319164000, 0.0319381000, 0.0319571000, 0.0319734000, 0.0319872000, 0.0319985000, 0.0320074000, 0.0320140000, 0.0320185000, 0.0320209000, 0.0320214000, 0.0320201000, 0.0320171000, 0.0320126000, 0.0320066000, 0.0319993000, 0.0319907000, 0.0319810000, 0.0319703000, 0.0319586000, 0.0319461000, 0.0319328000, 0.0319189000, 0.0319043000, 0.0318891000, 0.0318735000, 0.0318574000, 0.0318409000, 0.0318241000, 0.0318070000, 0.0317897000, 0.0317721000, 0.0317544000, 0.0317365000, 0.0317185000, 0.0317004000, 0.0316822000, 0.0316639000, 0.0316456000, 0.0316273000, 0.0316090000, 0.0315907000, 0.0315724000, 0.0315541000, 0.0315359000, 0.0315177000, 0.0314996000, 0.0314816000, 0.0314636000, 0.0314457000, 0.0314280000, 0.0314103000, 0.0313928000, 0.0313754000, 0.0313581000, 0.0313410000, 0.0313240000, 0.0313072000, 0.0312906000, 0.0312742000, 0.0312579000, 0.0312419000, 0.0312260000, 0.0312104000, 0.0311951000, 0.0311799000, 0.0311650000, 0.0311504000, 0.0311361000, 0.0311221000, 0.0311083000, 
2023-01-06, 0.0434269000, 0.0460574000, 0.0467395000, 0.0474216000, 0.0418443000, 0.0406996000, 0.0395872000, 0.0385291000, 0.0375371000, 0.0366172000, 0.0357719000, 0.0350014000, 0.0343043000, 0.0336782000, 0.0331199000, 0.0326259000, 0.0321922000, 0.0318146000, 0.0314891000, 0.0312114000, 0.0309775000, 0.0307834000, 0.0306254000, 0.0304999000, 0.0304033000, 0.0303326000, 0.0302847000, 0.0302568000, 0.0302463000, 0.0302509000, 0.0302684000, 0.0302967000, 0.0303341000, 0.0303788000, 0.0304295000, 0.0304847000, 0.0305434000, 0.0306043000, 0.0306666000, 0.0307294000, 0.0307921000, 0.0308540000, 0.0309145000, 0.0309732000, 0.0310297000, 0.0310837000, 0.0311349000, 0.0311832000, 0.0312283000, 0.0312703000, 0.0313089000, 0.0313442000, 0.0313761000, 0.0314047000, 0.0314300000, 0.0314521000, 0.0314711000, 0.0314869000, 0.0314999000, 0.0315099000, 0.0315173000, 0.0315221000, 0.0315244000, 0.0315243000, 0.0315221000, 0.0315177000, 0.0315115000, 0.0315034000, 0.0314937000, 0.0314824000, 0.0314696000, 0.0314556000, 0.0314403000, 0.0314239000, 0.0314066000, 0.0313884000, 0.0313694000, 0.0313497000, 0.0313294000, 0.0313085000, 0.0312872000, 0.0312655000, 0.0312435000, 0.0312213000, 0.0311988000, 0.0311763000, 0.0311536000, 0.0311309000, 0.0311082000, 0.0310856000, 0.0310630000, 0.0310406000, 0.0310183000, 0.0309962000, 0.0309743000, 0.0309526000, 0.0309312000, 0.0309101000, 0.0308892000, 0.0308686000, 0.0308484000, 0.0308285000, 0.0308089000, 0.0307897000, 0.0307709000, 0.0307524000, 0.0307343000, 0.0307166000, 0.0306992000, 0.0306823000, 0.0306657000, 0.0306496000, 0.0306338000, 0.0306185000, 0.0306036000, 0.0305891000, 0.0305749000, 0.0305612000, 0.0305480000, 0.0305351000, 
2023-01-09, 0.0436727000, 0.0461524000, 0.0466337000, 0.0471151000, 0.0416017000, 0.0404312000, 0.0393080000, 0.0382494000, 0.0372636000, 0.0363542000, 0.0355219000, 0.0347656000, 0.0340829000, 0.0334709000, 0.0329259000, 0.0324441000, 0.0320214000, 0.0316537000, 0.0313369000, 0.0310668000, 0.0308396000, 0.0306515000, 0.0304987000, 0.0303779000, 0.0302858000, 0.0302192000, 0.0301753000, 0.0301515000, 0.0301451000, 0.0301539000, 0.0301758000, 0.0302089000, 0.0302512000, 0.0303013000, 0.0303575000, 0.0304187000, 0.0304835000, 0.0305509000, 0.0306199000, 0.0306897000, 0.0307595000, 0.0308286000, 0.0308965000, 0.0309627000, 0.0310267000, 0.0310882000, 0.0311468000, 0.0312024000, 0.0312547000, 0.0313037000, 0.0313491000, 0.0313910000, 0.0314292000, 0.0314639000, 0.0314949000, 0.0315224000, 0.0315464000, 0.0315670000, 0.0315843000, 0.0315984000, 0.0316094000, 0.0316174000, 0.0316226000, 0.0316251000, 0.0316251000, 0.0316226000, 0.0316179000, 0.0316110000, 0.0316021000, 0.0315914000, 0.0315790000, 0.0315650000, 0.0315496000, 0.0315328000, 0.0315149000, 0.0314958000, 0.0314759000, 0.0314550000, 0.0314334000, 0.0314112000, 0.0313884000, 0.0313652000, 0.0313416000, 0.0313176000, 0.0312935000, 0.0312691000, 0.0312447000, 0.0312203000, 0.0311959000, 0.0311715000, 0.0311473000, 0.0311233000, 0.0310994000, 0.0310758000, 0.0310524000, 0.0310294000, 0.0310067000, 0.0309844000, 0.0309624000, 0.0309408000, 0.0309196000, 0.0308989000, 0.0308786000, 0.0308587000, 0.0308393000, 0.0308204000, 0.0308019000, 0.0307839000, 0.0307664000, 0.0307494000, 0.0307328000, 0.0307167000, 0.0307011000, 0.0306860000, 0.0306714000, 0.0306572000, 0.0306435000, 0.0306302000, 0.0306175000, 0.0306051000, 
2023-01-10, 0.0437245000, 0.0462693000, 0.0468186000, 0.0473679000, 0.0416690000, 0.0404770000, 0.0393362000, 0.0382641000, 0.0372688000, 0.0363538000, 0.0355192000, 0.0347636000, 0.0340845000, 0.0334783000, 0.0329413000, 0.0324691000, 0.0320574000, 0.0317018000, 0.0313980000, 0.0311416000, 0.0309285000, 0.0307547000, 0.0306164000, 0.0305100000, 0.0304321000, 0.0303795000, 0.0303491000, 0.0303383000, 0.0303445000, 0.0303653000, 0.0303985000, 0.0304422000, 0.0304946000, 0.0305539000, 0.0306187000, 0.0306878000, 0.0307597000, 0.0308336000, 0.0309084000, 0.0309834000, 0.0310576000, 0.0311306000, 0.0312018000, 0.0312707000, 0.0313369000, 0.0314001000, 0.0314600000, 0.0315163000, 0.0315691000, 0.0316181000, 0.0316632000, 0.0317045000, 0.0317419000, 0.0317755000, 0.0318052000, 0.0318313000, 0.0318537000, 0.0318726000, 0.0318880000, 0.0319002000, 0.0319093000, 0.0319154000, 0.0319186000, 0.0319192000, 0.0319172000, 0.0319129000, 0.0319063000, 0.0318977000, 0.0318871000, 0.0318748000, 0.0318609000, 0.0318455000, 0.0318288000, 0.0318108000, 0.0317918000, 0.0317718000, 0.0317510000, 0.0317294000, 0.0317072000, 0.0316845000, 0.0316613000, 0.0316378000, 0.0316140000, 0.0315900000, 0.0315658000, 0.0315416000, 0.0315174000, 0.0314932000, 0.0314692000, 0.0314452000, 0.0314215000, 0.0313979000, 0.0313747000, 0.0313517000, 0.0313290000, 0.0313066000, 0.0312847000, 0.0312630000, 0.0312418000, 0.0312210000, 0.0312006000, 0.0311806000, 0.0311611000, 0.0311420000, 0.0311233000, 0.0311051000, 0.0310874000, 0.0310700000, 0.0310532000, 0.0310368000, 0.0310208000, 0.0310053000, 0.0309902000, 0.0309756000, 0.0309614000, 0.0309476000, 0.0309342000, 0.0309213000, 0.0309088000, 0.0308967000, 
2023-01-11, 0.0437858000, 0.0462581000, 0.0467527000, 0.0472474000, 0.0412891000, 0.0400012000, 0.0387788000, 0.0376375000, 0.0365839000, 0.0356194000, 0.0347431000, 0.0339523000, 0.0332432000, 0.0326115000, 0.0320527000, 0.0315619000, 0.0311342000, 0.0307648000, 0.0304490000, 0.0301823000, 0.0299602000, 0.0297786000, 0.0296336000, 0.0295214000, 0.0294385000, 0.0293817000, 0.0293479000, 0.0293343000, 0.0293383000, 0.0293575000, 0.0293897000, 0.0294329000, 0.0294852000, 0.0295449000, 0.0296106000, 0.0296809000, 0.0297545000, 0.0298303000, 0.0299073000, 0.0299848000, 0.0300618000, 0.0301378000, 0.0302121000, 0.0302843000, 0.0303539000, 0.0304206000, 0.0304841000, 0.0305441000, 0.0306004000, 0.0306530000, 0.0307017000, 0.0307465000, 0.0307873000, 0.0308241000, 0.0308571000, 0.0308862000, 0.0309115000, 0.0309331000, 0.0309511000, 0.0309657000, 0.0309770000, 0.0309851000, 0.0309902000, 0.0309924000, 0.0309918000, 0.0309888000, 0.0309833000, 0.0309755000, 0.0309657000, 0.0309540000, 0.0309404000, 0.0309253000, 0.0309087000, 0.0308907000, 0.0308715000, 0.0308512000, 0.0308300000, 0.0308080000, 0.0307852000, 0.0307619000, 0.0307380000, 0.0307137000, 0.0306892000, 0.0306643000, 0.0306394000, 0.0306143000, 0.0305892000, 0.0305642000, 0.0305393000, 0.0305146000, 0.0304901000, 0.0304658000, 0.0304419000, 0.0304183000, 0.0303950000, 0.0303722000, 0.0303497000, 0.0303277000, 0.0303062000, 0.0302851000, 0.0302646000, 0.0302445000, 0.0302249000, 0.0302059000, 0.0301873000, 0.0301693000, 0.0301519000, 0.0301349000, 0.0301185000, 0.0301025000, 0.0300871000, 0.0300722000, 0.0300578000, 0.0300439000, 0.0300304000, 0.0300175000, 0.0300050000, 0.0299930000, 0.0299814000, 0.0299703000, 
2023-01-12, 0.0440462000, 0.0463561000, 0.0467653000, 0.0471745000, 0.0409013000, 0.0394713000, 0.0381363000, 0.0369071000, 0.0357856000, 0.0347695000, 0.0338541000, 0.0330339000, 0.0323027000, 0.0316542000, 0.0310823000, 0.0305809000, 0.0301441000, 0.0297664000, 0.0294425000, 0.0291677000, 0.0289371000, 0.0287467000, 0.0285922000, 0.0284701000, 0.0283770000, 0.0283095000, 0.0282649000, 0.0282403000, 0.0282334000, 0.0282418000, 0.0282635000, 0.0282966000, 0.0283393000, 0.0283899000, 0.0284472000, 0.0285098000, 0.0285765000, 0.0286461000, 0.0287179000, 0.0287909000, 0.0288643000, 0.0289374000, 0.0290097000, 0.0290806000, 0.0291497000, 0.0292165000, 0.0292808000, 0.0293422000, 0.0294004000, 0.0294553000, 0.0295068000, 0.0295546000, 0.0295988000, 0.0296393000, 0.0296760000, 0.0297090000, 0.0297383000, 0.0297638000, 0.0297858000, 0.0298042000, 0.0298192000, 0.0298309000, 0.0298393000, 0.0298447000, 0.0298471000, 0.0298467000, 0.0298436000, 0.0298380000, 0.0298300000, 0.0298199000, 0.0298076000, 0.0297935000, 0.0297776000, 0.0297601000, 0.0297412000, 0.0297209000, 0.0296996000, 0.0296771000, 0.0296538000, 0.0296298000, 0.0296051000, 0.0295799000, 0.0295544000, 0.0295285000, 0.0295025000, 0.0294764000, 0.0294503000, 0.0294243000, 0.0293985000, 0.0293730000, 0.0293478000, 0.0293231000, 0.0292987000, 0.0292749000, 0.0292517000, 0.0292290000, 0.0292070000, 0.0291857000, 0.0291651000, 0.0291452000, 0.0291261000, 0.0291078000, 0.0290902000, 0.0290734000, 0.0290574000, 0.0290422000, 0.0290278000, 0.0290142000, 0.0290014000, 0.0289893000, 0.0289780000, 0.0289674000, 0.0289575000, 0.0289483000, 0.0289398000, 0.0289319000, 0.0289247000, 0.0289180000, 0.0289120000, 0.0289064000, 
